output_3
	time	id	topic	sentiments	like	text
14	Tue Nov 30 23:59:49 +0000 2021	1465832972091863044	CR	=	5770	"Top officials are considering requiring everyone who enters US get tested day before their flight &amp; having all, including US citizens, test again after returning home, regardless of vaccination status, confirming WaPo. Officials are deliberating tonight but no final decision yet."
15	Tue Nov 30 23:56:34 +0000 2021	1465832154500272131	CS	-	0	@therealayushg Westbrook was injured and got covid when it mattered***
16	Tue Nov 30 23:55:46 +0000 2021	1465831953236639747	CV	+	0	@ASFleischman Folks of various beliefs are vaxxed and unvaxxed. To say that astrology enthusiasts are more susceptible to COVID breakthrough and organic cases is silly and unbecoming. https://t.co/V63b5jznds
18	Tue Nov 30 23:57:10 +0000 2021	1465832305608454144	CL	=	3	How do Republicans answer this question concerning their claims that Biden invented the new COVID Variant to help win the midterms? Would dozens of European countries enact travel restrictions that hurt their economies to help Democrats in the midterms? Fox News Lunacy! https://t.co/ikkOv82cm2
19	Tue Nov 30 23:59:34 +0000 2021	1465832912025231363	CP	=	0	@danno321s @worktwit629 @zerohedge But Ivermectine is forbidden in many countries to force the covid toxijab.
20	Tue Nov 30 23:55:08 +0000 2021	1465831797053440008	CS	=	1	@usedall @MiaFarrow In a lot of cases the drug worked. Not all drugs work on everybody because of our own immune systems why do some people test positive to Covid and no symptoms while others die or hospitalized.
21	Tue Nov 30 23:59:28 +0000 2021	1465832885546586121	CV	-	1	I'm vaccinated but she's not eligible for vaccination just yet. Fuck. And here I've been ignoring my sore throat/cough/fatigue.
22	Tue Nov 30 23:57:14 +0000 2021	1465832324990488580	CT	=	1	@artyjoestar2001 covid covid covid variante africa errr covid
23	Tue Nov 30 23:56:04 +0000 2021	1465832031502286851	CV	=	0	Does the #COVID19 Vaccine Cause #Infertility or Miscarriages? Doctors and Experts Break It Down https://t.co/tDO0Qshr5X https://t.co/3oMfmd25TC
24	Tue Nov 30 23:59:17 +0000 2021	1465832841011421188	CV	=	6	Kentucky's attorney general won a preliminary court order Tuesday to block President Joe Biden’s coronavirus vaccination mandate for federal government contractors and subcontractors. https://t.co/mQk62Rwcyv
25	Tue Nov 30 23:56:10 +0000 2021	1465832054277357568	CV	=	1	@DirtMcgirt412 @PeterBerki @johnnyRyall11 @RichOfTheBurns @kumailn And you’re a bit behind: Comirnaty (Pfizer) is in fact FDA approved
26	Tue Nov 30 23:55:51 +0000 2021	1465831976674676738	CV	=	4	"$QQQ , $IWM  Vaccines are  90% effective vs the Omicron, both in being infected and recovering, recent data show, so nothing burger scare, Moderna wanted to sell more new vaccines etc etc etc… ️"
27	Tue Nov 30 23:56:53 +0000 2021	1465832235538726913	CY	-	0	Amazon faces new pressure over COVID protections in warehouses 👉Claim Your Exclusive Music Offer From Tibet Ellor 👉 https://t.co/cHXY4hx6HT  https://t.co/aJWjYibXBg
28	Tue Nov 30 23:55:16 +0000 2021	1465831828749787138	CS	-	0	Niggas still getting Covid at my job. Daily.
29	Tue Nov 30 23:58:09 +0000 2021	1465832555308109827	CP	-	0	My king said we not resting during covid season. https://t.co/ygkZSvyfjU
30	Tue Nov 30 23:56:36 +0000 2021	1465832165388832775	CP	=	0	FDA panel narrowly recommends authorization of first antiviral pill to treat COVID - STAT https://t.co/F4F0ESnJCX
31	Tue Nov 30 23:59:15 +0000 2021	1465832831029071876	CV	-	5	Covid shot #3 sucks. I feel like crap. Maybe less bad next booster? Probably not.
32	Tue Nov 30 23:59:49 +0000 2021	1465832972561657864	CV	+	1	BioNTech boss says 'don't freak out' about Omicron as Pfizer jab likely to protect against severe COVID https://t.co/s0GQmRZBUn
33	Tue Nov 30 23:58:29 +0000 2021	1465832637159911429	PL	=	0	#news #business#technology #health #kids #covid #omicron exactly no need to panic https://t.co/29kJ0d1Hkw
34	Tue Nov 30 23:58:56 +0000 2021	1465832753677561861	CY	=	4	"Covid got me thinking that it’s some sort of fraternity now, and that it’s currently in its Omicron class 💀💀"
35	Tue Nov 30 23:56:03 +0000 2021	1465832026087460867	CV	-	1	@cnnbrk 14 yr old girl has died 1 month after receiving her second Pfizer COVID-19 vaccine. Majda El Azrak got her second shot on 08/17suffered a severe headache the next day.She was hospitalized on 08/19where she slipped into a coma several hours later died on 09/13  now ainvestigation
36	Tue Nov 30 23:55:13 +0000 2021	1465831814254284805	CS	=	0	"@WillWLau @LivingTissue @denise_dewald @hjelle_brian explained it quite clearly: Death from SARS2 affects a rather small minority anyway, from an evolutionary POV. But more importantly, when you die of COVID, you do so weeks after you're finished propagating SARS2. The virus could care less. It's moved on bro..."
37	Tue Nov 30 23:55:37 +0000 2021	1465831918944104450	CP	=	1	1 in 4 COVID patients hospitalized while vitamin D deficient die - Israeli study | The Times of Israel  What some of us have been screaming for 20 months!   🤦‍♂️ https://t.co/OUNRkRVewN
38	Tue Nov 30 23:57:38 +0000 2021	1465832424051519489	CP	=	0	How Kickstarter Creators Are Coping with the Coronavirus — Kickstarter CRYPTO CRYPTO NEWS - https://t.co/ehi8NLssCK
39	Tue Nov 30 23:59:34 +0000 2021	1465832911655997441	CS	-	0	@LakersNation If he would to have covid and the team traveled then why isn’t the game postponed unless it’s just a close contact
40	Tue Nov 30 23:59:50 +0000 2021	1465832977573756939	CS	=	0	How Federal Prisons Became Coronavirus Death Traps  https://t.co/9DyCFgy62W
41	Tue Nov 30 23:58:33 +0000 2021	1465832653299531780	CT	=	0	"@Saidaioujou I wish, it’s a new variant of Covid."
42	Tue Nov 30 23:57:01 +0000 2021	1465832268342120448	CY	=	0	"@JPvanYpersele @dwallacewells People are now used to COVID-type graphs and information. Would it make sense to communicate climate-information with similar graphs, and where applicable, like for air pollution deaths, have a comparison with covid ?"
43	Tue Nov 30 23:57:24 +0000 2021	1465832365888966662	CT	=	5	"Will the Omicron strain of #Covid19 have deadly effects, or could it just be a fizzer? Experts with the Australian Science Media Centre answer the tough questions. @andrew_hough #TheAdvertiser https://t.co/aioPums1co"
44	Tue Nov 30 23:58:14 +0000 2021	1465832576661147651	CR	=	0	"Florida, the state with the lowest infection rate in the nation, is the most corona-open state in the nation, with no lockdowns, no masks, open schools, and sanctions against companies that mandate vaccines. https://t.co/9U8bJ22f2c"
45	Tue Nov 30 23:56:45 +0000 2021	1465832201321205764	CR	=	0	@Cogni_Dissident @saltguy66 @ask1087 @mtracey Covid restrictions in workplaces?
46	Tue Nov 30 23:59:08 +0000 2021	1465832801626779648	CV	=	0	BREAKING REPORT: Pfizer CEO Says “Most Likely Scenario” is “ANNUAL REVACCINATION” Against Covid... #dkpol
48	Tue Nov 30 23:57:03 +0000 2021	1465832277657665549	PL	-	8	"If this is COVID, this sucks a zillion times more than chemo. I want my mom."
49	Tue Nov 30 23:59:58 +0000 2021	1465833011270852609	PL	-	2	"@WOLF_Financial Back when I was coaching youth robotics there weren't many charities dedicated exclusively to supporting teams, so we started our own 501c3.  Our teams lost a season to Covid, but we're back on the mend and the next school year should be awesome!"
50	Tue Nov 30 23:58:36 +0000 2021	1465832668692566020	CT	-	0	S&amp;P/TSX composite down more than 480 points amid renewed COVID-19 variant fears https://t.co/Sa2vCMi9E6
51	Tue Nov 30 23:59:43 +0000 2021	1465832950826774529	CV	=	0	Parents who want to be present when their child is vaccinated at school is fine. Making it mandatory makes no sense. It is going to slow down #vaccination rates and put a burden on working parents. There will be too many extra people in school buildings which is unsafe #skpoli
52	Tue Nov 30 23:55:59 +0000 2021	1465832009276612610	PL	+	2	i’ve been sick for over a week now. got a covid test done - thankfully negative. so my conclusion is i have the flu or a cold 😷
54	Tue Nov 30 23:55:37 +0000 2021	1465831918054875139	CT	=	5	Omicron COVID Variant Found ONLY in Fully Vaccinated https://t.co/ZcBtlwzdZ2
58	Tue Nov 30 23:57:39 +0000 2021	1465832427431944201	CV	-	0	"@BretBaier Outrageous behavior and punishment the Navy is imposing on 11 year active serviceman for refusing vaccination - DISHONORABLE DISCHARGE!  The our MILITARY hasn't won a war since WWII and, rather than being Military Warriors, the leadership is now Social Justice PUNKS!"
63	Tue Nov 30 23:57:37 +0000 2021	1465832420188561409	CV	=	0	@Craig_A_Spencer Moderna is just guessing Scientists say it will take about 3 weeks before it is known how the heavily mutated variant impacts on the effectiveness of vaccines. https://t.co/MXBXVQmTE8
64	Tue Nov 30 23:58:42 +0000 2021	1465832693472628746	CV	=	3	"@BigJoeBastardi Annual vax makes sense. Flu vax loses a lot of effectiveness after 4 months, no reason to think Covid vax would last more than a year in a best case scenario. Exception: if Covid mutates to a milder form, which is fairly likely at some point."
65	Tue Nov 30 23:57:36 +0000 2021	1465832414433869826	CY	-	1	Bruh lebron got covid💀
66	Tue Nov 30 23:55:41 +0000 2021	1465831932399341574	PL	=	1	"@Suziesu5979 Thank you my lovely! My first one was horrendous, took 3 months to get over it. I have chronic brittle asthma &amp; it hit my lungs hard but not as hard as covid would have done. Felt nothing for my second &amp; feeling rough from this one. Had some meds &amp; under the electric blanket.💜"
67	Tue Nov 30 23:55:18 +0000 2021	1465831837226446848	CV	=	2	Making Covid-19 vaccines mandatory was once unthinkable. But European countries are showing it can work - CNN https://t.co/0oanwwwrG1
69	Tue Nov 30 23:56:04 +0000 2021	1465832032274042882	PL	=	1	@Will666sortof I’m masking. I have gel in my car. Always had gel in my car even before COVID. B4 COVID I’d come home and wash my hands. So masks are my friends. I will wear them when till I don’t need to
71	Tue Nov 30 23:55:07 +0000 2021	1465831791160438792	CR	=	2	"The law has been passed &amp; will last until end of March, (unless extended)  Any contact of Omicron case whether vaccinated (not necessary currently) or not, must isolate for 10 days  This will decimate education and workplaces &amp; further undermine vaccination efforts https://t.co/KmbwHVDdFN"
73	Tue Nov 30 23:59:03 +0000 2021	1465832781972328450	CY	-	0	"@Dorrie_theWitch Everyone is standoffish since COVID. I did ask one team, and they looked at me like I was insane."
76	Tue Nov 30 23:55:52 +0000 2021	1465831977978929164	CV	-	4	"@JPuppetsforlife @LLau71 Depopulation through Forced vaccination, the zero carbon solution. https://t.co/TskjWWQDfU"
78	Tue Nov 30 23:58:56 +0000 2021	1465832750607388672	CV	=	32	@ChrisStigall Tell me you're invested in Pfizer without telling me you're invested in Pfizer.
79	Tue Nov 30 23:59:14 +0000 2021	1465832828042629130	CS	=	51	"Also worth noting the true impact of these low vaccination rates statewide.   In Teton County (83% fully vaccinated) about 1 in 1,676 people have died due to complications with COVID-19  In next-door Sublette County (32%), that rate is 1 in 447. In Park (42%) it's 1 in 301. https://t.co/kDVcUAXwZq"
83	Tue Nov 30 23:58:13 +0000 2021	1465832571972034565	CT	=	0	"@FaceTheNation VINEET MENACHERY, the chimeric virus designer in the collaborated paper, ""We chose a mouse-adapted strain for the backbone  and what surprised us was that the SARS-like CoV spikes, WIV1 and SHC014, which were isolated from bats, caused robust disease.""https://t.co/KuZ6ynMgUk"
84	Tue Nov 30 23:57:58 +0000 2021	1465832510152134658	CP	=	29	Merck’s Covid pill secures narrow backing from US regulatory panel https://t.co/Z8PBb2X92a
86	Tue Nov 30 23:59:32 +0000 2021	1465832903569518604	CV	=	1	"Our kids who are at no risk from covid are being put into masks despite most the population of adults being vaccinated or had covid, is down to cowardly people who have complied the whole time."
87	Tue Nov 30 23:55:54 +0000 2021	1465831988317736965	CV	=	2	"Notably, the Brits are not vaccinating children 5-11 https://t.co/GRYoBN5j3g #cdnpoli #bcpoli"
90	Tue Nov 30 23:56:06 +0000 2021	1465832038263623686	CV	-	1	@Sarah_Katilyn Came back to find this tweet to share that i can tell you with 100% positively that the double jab of pfizer does not work..... yep. https://t.co/aaEZbH0z94
91	Tue Nov 30 23:56:19 +0000 2021	1465832091623505921	CP	=	1	"@HitOrMissJudy With vaccination, booster and mask, I would guess it's okay."
94	Tue Nov 30 23:57:35 +0000 2021	1465832411061792770	PL	=	1	Reminds me of the innocent old days when we'd make jokes about coronavirus being a beer https://t.co/5KNWG3JWNY https://t.co/L9fw4Cwljs
95	Tue Nov 30 23:55:51 +0000 2021	1465831973834743808	CP	=	0	@Merck Small molecule antiviral therapies are BS...we all know that but people dont! Not just about Molnupiravir -its true for Paxlovid or Ritanovir or even simple HSV drugs.Make hay while the Covid shines!
98	Tue Nov 30 23:58:37 +0000 2021	1465832673763545093	CV	=	0	Covid: Who can have a booster jab and how can you get one? - BBC News https://t.co/cCqIhPaj39 https://t.co/JnDBp6JxnM
99	Tue Nov 30 23:56:48 +0000 2021	1465832214965465092	CV	=	0	@xikron @2021Hal @RepRosendale @HouseGOP So you admit that one of the covid vaccines is fully approved and I'm the one spreading misinformation? https://t.co/sbCcExlzLP
100	Tue Nov 30 23:59:47 +0000 2021	1465832966471692291	CT	=	1	Omicron brings COVID-19 vaccine inequity 'home to roost' @AP @mylcheng @lhinnant @ZekeJMiller  https://t.co/9zlv2pvPvE
101	Tue Nov 30 23:55:56 +0000 2021	1465831998409302016	CV	=	0	I get my second covid shot Friday and 😮‍💨🥺… really not ready!!!
102	Tue Nov 30 23:59:08 +0000 2021	1465832800771137537	CY	=	1	"@ss_slacker My theory: recruiters are people who can't handle failure  or difficulties and it has traditionally been an easy enough job.  Post covid world, the tech industries have become more competitive to hire and wages are up. Recruiters failing to get new staff is freaking them out."
103	Tue Nov 30 23:55:42 +0000 2021	1465831939768782848	CS	=	0	Bron got the Covid??
104	Tue Nov 30 23:56:50 +0000 2021	1465832223114936324	CV	=	1	"@JGfromOC Same. Booster scheduled for Sunday. I feel like even with COVID, this may turn out to be the healthiest CES for many since so many precautions are being taken."
105	Tue Nov 30 23:57:57 +0000 2021	1465832504883961856	CV	=	44	"@2022WeThePeople @JVTN58 I'd tell them unvaccinated pregnant women are dying at a high rate from covid, and you care about them and don't want to be party to this risky nonsense. I'm sorry you're dealing with this. The misinfo is infuriating but also incredibly tragic."
106	Tue Nov 30 23:56:08 +0000 2021	1465832047281381378	CT	=	2	"Two doctors in Israel have contracted the omicron variant of COVID-19 — both doctors had been vaccinated and boosted, according to the Sheba Medical Center.  https://t.co/VZeSLDwfb0"
109	Tue Nov 30 23:58:49 +0000 2021	1465832721285062661	CV	=	0	I smell a lawsuit or two coming  https://t.co/hRbDRKy9Lw
110	Tue Nov 30 23:57:26 +0000 2021	1465832372394409985	CP	=	0	FDA advisers vote to recommend authorization of COVID-19 pill from Merck https://t.co/ZUYZouW7ev
111	Tue Nov 30 23:57:37 +0000 2021	1465832421182562316	CV	+	1276	President @BarackObama and Dr. Fauci visited Kimball Elementary School today and met with families and kids as they waited to receive their COVID-19 vaccines. Getting children fully vaccinated is the best way to protect them against COVID-19. https://t.co/yp3PNfwfp6
112	Tue Nov 30 23:56:24 +0000 2021	1465832112486035459	CY	=	0	Foo Fighters Cancel Minneapolis Show After Venue Denies COVID Safety Measures https://t.co/aRizVGZyFB @Loudwire
113	Tue Nov 30 23:59:19 +0000 2021	1465832847843934213	CV	+	0	"I know we're a long way off with boosters, but is Mexico going to catch up to the US in terms of fully vaccination portion of the population? Looks like 🇲🇽 50% vs. 🇺🇸 58% right now.  https://t.co/JeMTzUQOEF https://t.co/82WUvg3YH5"
115	Tue Nov 30 23:59:39 +0000 2021	1465832931000262657	CV	=	0	Pfizer using an active ingredient in Advil FROM CHINA. https://t.co/EO5Aeb6xfm
116	Tue Nov 30 23:58:11 +0000 2021	1465832563457593346	CP	-	0	After all that time he worked and exposing himself during his COVID battle. What a sad way to go out https://t.co/peVbZZTV7o
118	Tue Nov 30 23:57:41 +0000 2021	1465832435698966531	CS	=	0	"@Taipan57602002 @ozzorro1 @fishyfish67 More insults and still no link to your source? Why? You made the claim. It is highly unusual for children to get, let alone, transmit Covid. You are the one making an extraordinary claim. Why won't you link to your data?"
119	Tue Nov 30 23:59:51 +0000 2021	1465832983047385100	CY	-	0	"instead of giving them unemployment benefits, why don't they just pay for their hospital bill when they contract Covid?  Here are all the states providing unemployment benefits for people who quit or were fired because they refused to get vaccinated https://t.co/vp4uy9tCrk"
120	Tue Nov 30 23:59:00 +0000 2021	1465832769850953728	CP	=	0	Symptomatic COVID-19 testing should be free and readily accessible to all Ontarians - but it does not belong in drug stores. Sign the petition calling on Doug Ford to keep our pharmacies safe. #ONPoli https://t.co/enqJPhtFG9
121	Tue Nov 30 23:55:29 +0000 2021	1465831884647288833	PL	-	1	"So I tested positive for COVID today and, as expected, the worst symptom is feeling bad about myself for ruining other people's plans."
122	Tue Nov 30 23:56:37 +0000 2021	1465832168878391296	CY	-	0	Thought I had Covid so I went and got tested I just got the news I DO NOT HAVE IT!!! Finally I can recover from this cold I have.
123	Tue Nov 30 23:59:44 +0000 2021	1465832952726802442	PL	+	1	also before covid i was super scared to explore my identity and start expressing myself via fashion and now i'm a non-binary who has amazing fashion sense
124	Tue Nov 30 23:55:43 +0000 2021	1465831941861781515	CT	=	0	Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world - CBS News  #VaccinesWork #MaskUpPeeps 👊😷 https://t.co/swNhra5y6K
125	Tue Nov 30 23:58:47 +0000 2021	1465832715928940544	PL	+	5	am i the only one who's social anxiety was DESTROYED by covid. like before i avoided people even looking at me now i see a cool person and i ask if they wanna exchange phone numbers and be friends. i'm so proud of myself :)
126	Tue Nov 30 23:56:36 +0000 2021	1465832163216089097	CV	+	0	@JeBirdTweets @FirewifeyOG1 I had Moderna n booster was half of the that! No problems!!
128	Tue Nov 30 23:55:39 +0000 2021	1465831925587787780	CP	=	1	An FDA panel supports Merck COVID drug in mixed vote https://t.co/yx1EZMNBk5
130	Tue Nov 30 23:58:08 +0000 2021	1465832550333485061	CR	-	0	'Multiple' people escape from Howard Springs COVID-19 quarantine facility near Darwin https://t.co/EmrqKbqt4L https://t.co/UkoYl26E3m
131	Tue Nov 30 23:58:20 +0000 2021	1465832600392634371	CV	=	0	@RandPaul What was that about natural immunity vs vaccination? https://t.co/6LHmnYesxz https://t.co/fbjV5BWNaP
132	Tue Nov 30 23:59:13 +0000 2021	1465832822820814851	CY	=	1	@CalKAuthor Thanks to Brexit there’s not enough people to take away the bodies of those who have died of covid. The bees are adapting to a new food source.
133	Tue Nov 30 23:57:21 +0000 2021	1465832355227185152	CV	=	1	@iamchanteezy Which one did you take? Pfizer or Moderna? And how do you feel?
134	Tue Nov 30 23:55:48 +0000 2021	1465831961306488833	CV	=	0	"@MissFlyByNight No, not much to change anyway. I did get my booster so I should be good. If they learn this variant is bad and my vaccination doesn't protect me then I might lock myself inside. So far it doesn't look to be going that way. Time will tell."
135	Tue Nov 30 23:58:16 +0000 2021	1465832584680722445	PL	=	1	I'm raising money for Julie and Jadyn. They loss their husband and father due to COVID. #GivingTuesday  Click to Donate:  https://t.co/rXxAb0Dhb9 #GoFundMe
137	Tue Nov 30 23:59:15 +0000 2021	1465832832270405632	PL	-	3	@jojisupremacy yeah it was suppose to happen march 2020 but cancelled due to covid :(
139	Tue Nov 30 23:57:31 +0000 2021	1465832395974737925	CS	-	20	"So while small businesses worked and lost money implementing covid procedures, Amazon covered up 20k cases, which inevitably spread through the communities involved, certainly killing people. Just to save a few bucks, they put entire communities in danger. https://t.co/WZUoCzFoU1"
140	Tue Nov 30 23:58:07 +0000 2021	1465832546202263553	CS	=	2	"@aussiedadbod @matthewdmarsden I'm sure even Texas having 36 times as many Covid deaths as Australia won't budge Matthew's opinion one iota, since he appears thoroughly immune to logic."
141	Tue Nov 30 23:56:04 +0000 2021	1465832029355122688	CV	=	1	"Oh, well!   Marcus Lamb, anti-COVID vaccine Christian broadcaster, dies at 64 https://t.co/BgILK27wjN #SmartNews"
142	Tue Nov 30 23:59:48 +0000 2021	1465832970271477760	CP	=	0	@Gordon_crp @roisinanna @gavreilly @VirginMediaNews What’s your actual concern? That kids will not develop immunity to Covid if masked or otherwise protected from it? Or that their immune systems in some broader sense will be weaker due to those mitigations?
143	Tue Nov 30 23:59:22 +0000 2021	1465832860787560449	CY	+	0	We're proud to support 💗 Provide international support for COVID-19💗 Donate $20….
144	Tue Nov 30 23:57:24 +0000 2021	1465832366946111490	CP	+	2	@prairiecentrist I know but it looks good. If you aren’t already following @sailorrooscout I suggest that you do. Very good science and insight into Covid-19.
145	Tue Nov 30 23:55:11 +0000 2021	1465831807480389640	CR	=	2	"@jennwade14 @rorymcevoy I can see the issue all right. It's parents blowing it way out of proportion (not Rory) I've seen parents refusing chld wearing masks, vaccination, refusing school sanitiser, complaining about windows open yet schools have to do more to keep them safe. Schools can only do so much"
146	Tue Nov 30 23:55:10 +0000 2021	1465831801826459649	CP	=	0	"""An F.D.A. panel endorses Merck’s Covid pill for high-risk adults."" via NYT https://t.co/Ni4rW3Oxmi #healthnews #dentistry #newyorktimes"
147	Tue Nov 30 23:58:02 +0000 2021	1465832524396077056	CY	=	0	@bo_theis Covid is political
149	Tue Nov 30 23:58:02 +0000 2021	1465832524790206469	CL	=	2	New Research: SARS-CoV-2 Among Migrants Recently Arrived in Europe From Low- and Middle-Income Countries: Containment Strategies and Special Features of Management in Reception Centers: Despite the “migrants and COVID-19”… https://t.co/NBGLBsRiM2 #PublicHealth #HealthForAll
150	Tue Nov 30 23:58:48 +0000 2021	1465832718961283076	CS	=	0	"@quintic That's what I meant to claim, that the general causes of death didn't go up, that covid didn't create a spike in causes of death. When adjusted, excess deaths didn't rise. However, they have recently risen sharply and we are left to speculate about why. https://t.co/lVNiqXqPa3"
152	Tue Nov 30 23:55:38 +0000 2021	1465831919631810562	CS	=	0	"B.C. records 358 new cases of COVID-19 and no additional deaths. There are 300 people in hospital with the disease, 104 of whom are in intensive care | CBC News https://t.co/rWg3wpFEmP"
153	Tue Nov 30 23:58:34 +0000 2021	1465832657850224646	CV	=	0	"@ES53069807 @sibanyoni_mt @BNODesk A traditional vaccination that is local and just causes an immune response when it reaches the lymph node, the mRNA vaccine goes anywhere in the body, cuts into your cell membranes and then enters your cell with a laboratory made RNA strand,"
154	Tue Nov 30 23:58:17 +0000 2021	1465832589055328259	CV	=	0	@itskingsupreme @GirlNxDoor All NFL coaches are required to get vaccinated. Only 2 Cowboys players were unvaccinated. A total of 12-15 vaccinated players and coaches have gotten covid since training camp.
155	Tue Nov 30 23:57:55 +0000 2021	1465832493773250561	CV	=	0	Pima County offering COVID-19 vaccines at Tucson Convention Center https://t.co/RgNoXjE13R
156	Tue Nov 30 23:57:11 +0000 2021	1465832311740682243	CS	=	0	@NotNeva @RealMattCouch I mean that sincerely.   https://t.co/4agSgrF6hz
157	Tue Nov 30 23:58:34 +0000 2021	1465832657648902153	CV	+	0	Fort Worth Opens New COVID-19 Vaccine Site as Drive-Thru Location Closes https://t.co/v7KQvZxEQ4 https://t.co/so0HdRvGvj
158	Tue Nov 30 23:59:24 +0000 2021	1465832867225870341	CT	=	0	"They Called Their Band Omicron. Now They’re Sharing the Name With a Covid Variant  “Whether for the right or wrong reasons, we’ve been getting clicks,"" says guitarist Li Heng Chan of the defunct Hong Kong prog-metal outfit.   ""It’s been a lot to process” https://t.co/mQvHk9Wcq3"
159	Tue Nov 30 23:58:18 +0000 2021	1465832591181979648	CV	-	0	Vaccine Cult Exposed by Government’s Own Data: More than 50% of ALL Vaccine Adverse Reactions Reported for Past 30+ Years Have Occurred in Past 11 Months Following COVID-19 Shots @Dan__Stevens @jordanbpeterson @TheQuartering @Seekthetruth101 @GBNEWS  https://t.co/qZllxcbxbQ
160	Tue Nov 30 23:56:08 +0000 2021	1465832048837419015	CT	=	0	"omicron Covid, China factory activity, oil prices – EAST AUTO NEWS https://t.co/NBr8biZfIH"
161	Tue Nov 30 23:57:08 +0000 2021	1465832300701171716	CV	=	0	@MicheleSobering @SDonato89 @levinepmc @AirCanada These anti-Covid vaccines are garbage!
162	Tue Nov 30 23:55:06 +0000 2021	1465831787934806019	CP	+	0	A lot of this could br prevented.   Yes this is a spiritual attack AND natural.   COVID is real. You have to fight and protect of both levels.
163	Tue Nov 30 23:56:19 +0000 2021	1465832095180374024	PL	=	1	"Nearly 3 billion people – or 37% of the world’s population – have never used the internet, according to the United Nations, despite the Covid-19 pandemic driving people online. @AFP  @3Lmantra  https://t.co/lHUktiRNOc"
166	Tue Nov 30 23:57:04 +0000 2021	1465832283320070152	PL	=	2	"@scmackay That article most certainly did not make it sound safe in any way, shape, or form. And the scientists urged great caution &amp; a slow approach. Congrats, you didn’t die of Covid, but now you’re going to get cancer."
167	Tue Nov 30 23:56:57 +0000 2021	1465832252290519040	CS	-	1	@ScottAgness Played that many games without getting injured and he missed his first game forever because of stupid covid
168	Tue Nov 30 23:58:53 +0000 2021	1465832738456485890	CR	=	0	🇮🇳 INDIA: Tamil Nadu officials extend COVID-19 restrictions until 15 December – Update | https://t.co/LJf8OxFmpl
169	Tue Nov 30 23:56:08 +0000 2021	1465832046614368263	CS	=	3	COVID-19: Influx of cases causing strain on Kingston hospitals https://t.co/zRkNoowFFD https://t.co/PrbGGWYSfa
170	Tue Nov 30 23:59:50 +0000 2021	1465832977204613126	CT	=	1	COVID-19: Eight further cases of new Omicron variant identified in England - bringing UK total to 22 | UK News | Sky News https://t.co/2yGE5u7twg
171	Tue Nov 30 23:56:59 +0000 2021	1465832261039886350	PL	=	0	@itsanwar99 they prolly too broke to afford artists after 2 years of covid
